choix ; couleur
abstention ; #FFFFFF
Benoit HAMON ; #EA40C9
blanc ; #FFFFFF
Emmanuel MACRON ; #7C16C3
Francois ASSELINEAU ; #131413
Francois FILLON ; #0089C4
Jacques CHEMINADE ; #464A4C
Jean LASSALLE ; #CFE9F7
Jean-Luc MELENCHON ; #DC2A1B
Marine LE PEN ; #000F7C
Nathalie ARTHAUD ; #DC2A1B
Nicolas DUPONT-AIGNAN ; #0089C4
nul ; #FFFFFF
Philippe POUTOU ; #DC2A1B
